word	level	grade	pos	meaning	meaningAlt	synonyms	tags	freq	example	exampleKo	image
proud	4	elementary_5	adjective	자랑스러운			emotion	mid	My parents are proud today.	우리 부모는 오늘 자랑스러워한다.
lonely	4	elementary_5	adjective	외로운			emotion	mid	The lonely dog waits alone.	그 외로운 개는 혼자 기다린다.
nervous	4	elementary_5	adjective	긴장한			emotion	mid	I feel nervous before the test.	나는 시험 전에 긴장한다.
shy	4	elementary_5	adjective	부끄러워하는			emotion	mid	The shy child hides behind mom.	그 부끄러워하는 아이는 엄마 뒤에 숨는다.
calm	4	elementary_5	adjective	침착한			emotion	mid	Stay calm and count slowly.	침착하게 있고 천천히 세어라.
surprised	4	elementary_5	adjective	놀란			emotion	high	She was surprised by the news.	그녀는 그 소식에 놀랐다.
bored	4	elementary_5	adjective	지루해하는			emotion	mid	I get bored on rainy days.	나는 비 오는 날에 지루해진다.
worried	4	elementary_5	adjective	걱정하는			emotion	high	Dad looks worried about the storm.	아빠는 폭풍을 걱정하는 것처럼 보인다.
thankful	4	elementary_5	adjective	고마워하는			emotion	mid	I am thankful for your help.	나는 네 도움에 고마워한다.
ocean	4	elementary_5	noun	바다			nature	high	The ocean is deep and cold.	바다는 깊고 차갑다.
island	4	elementary_5	noun	섬			nature	mid	A small island sits in the lake.	작은 섬이 호수에 있다.
desert	4	elementary_5	noun	사막			nature	mid	The desert is very dry.	사막은 매우 마르다.
field	4	elementary_5	noun	들판			nature	mid	Cows eat grass in the field.	소들이 들판에서 풀을 먹는다.
valley	4	elementary_5	noun	계곡			nature	mid	The valley is quiet at night.	그 계곡은 밤에 조용하다.
hill	4	elementary_5	noun	언덕			nature	mid	We climb the hill together.	우리는 함께 언덕을 오른다.
cave	4	elementary_5	noun	동굴			nature	mid	Bats sleep in the cave.	박쥐들이 동굴에서 잔다.
lake	4	elementary_5	noun	호수			nature	mid	The lake is calm today.	그 호수는 오늘 잔잔하다.
sky	4	elementary_5	noun	하늘			nature	high	The sky is full of stars.	하늘이 별로 가득하다.
ground	4	elementary_5	noun	땅			nature	high	The ground is wet after rain.	비가 온 뒤 땅이 젖어 있다.
soil	4	elementary_5	noun	흙			nature	mid	Plants grow in good soil.	식물은 좋은 흙에서 자란다.
seed	4	elementary_5	noun	씨앗			nature	mid	I put one seed in the soil.	나는 흙에 씨앗 하나를 넣는다.
root	4	elementary_5	noun	뿌리			nature	mid	The root is under the ground.	뿌리는 땅 아래에 있다.
leaf	4	elementary_5	noun	잎			nature	high	One leaf falls from the tree.	잎 하나가 나무에서 떨어진다.
branch	4	elementary_5	noun	나뭇가지			nature	mid	A bird sits on the branch.	새가 나뭇가지에 앉는다.
whale	4	elementary_5	noun	고래			animal	mid	The whale swims in the ocean.	그 고래는 바다에서 수영한다.
dolphin	4	elementary_5	noun	돌고래			animal	mid	A dolphin jumps very high.	돌고래가 매우 높이 뛰어오른다.
shark	4	elementary_5	noun	상어			animal	mid	The shark has strong teeth.	그 상어는 튼튼한 이를 가졌다.
turtle	4	elementary_5	noun	거북			animal	mid	The turtle walks very slowly.	그 거북은 매우 천천히 걷는다.
frog	4	elementary_5	noun	개구리			animal	mid	A frog jumps into the lake.	개구리가 호수로 뛰어든다.
snake	4	elementary_5	noun	뱀			animal	mid	The snake hides in the grass.	그 뱀은 풀에 숨는다.
bee	4	elementary_5	noun	벌			animal	mid	A bee sits on the flower.	벌이 꽃에 앉는다.
ant	4	elementary_5	noun	개미			animal	mid	One ant carries a leaf.	개미 한 마리가 잎을 나른다.
mouse	4	elementary_5	noun	쥐			animal	mid	The mouse runs under the desk.	그 쥐는 책상 아래로 달린다.
horse	4	elementary_5	noun	말(동물)			animal	high	The horse runs on the field.	그 말은 들판에서 달린다.
sheep	4	elementary_5	noun	양			animal	mid	The sheep eats grass quietly.	그 양은 조용히 풀을 먹는다.
goat	4	elementary_5	noun	염소			animal	low	A goat climbs the hill.	염소가 언덕을 오른다.
chicken	4	elementary_5	noun	닭			animal	high	The chicken has small wings.	그 닭은 작은 날개를 가졌다.
deer	4	elementary_5	noun	사슴			animal	mid	A deer drinks from the river.	사슴이 강에서 물을 마신다.
explain	4	elementary_5	verb	설명하다			study	high	Please explain the answer again.	답을 다시 설명해 주세요.
describe	4	elementary_5	verb	묘사하다			study	mid	Describe the picture in English.	그 그림을 영어로 묘사해라.
decide	4	elementary_5	verb	결정하다			study	high	We decide the plan today.	우리는 오늘 계획을 결정한다.
believe	4	elementary_5	verb	믿다			study	high	I believe your story.	나는 네 이야기를 믿는다.
agree	4	elementary_5	verb	동의하다			study	high	We all agree with the rule.	우리는 모두 그 규칙에 동의한다.
promise	4	elementary_5	verb	약속하다			daily	mid	I promise to help you.	나는 너를 돕기로 약속한다.
prepare	4	elementary_5	verb	준비하다			daily	high	We prepare dinner together.	우리는 함께 저녁 식사를 준비한다.
collect	4	elementary_5	verb	모으다			daily	mid	I collect leaves in autumn.	나는 가을에 잎을 모은다.
